name,address,city,state,zip,latitude,longitude,website
Le Cordon Bleu College Of Culinary Arts-Pasadena,530 East Colorado Boulevard,Pasadena,CA,91101,34.144941,-118.139169,www.chefs.edu/los-angeles/
Kaplan College-Panorama City,14355 Roscoe Blvd,Panorama City,CA,91402,34.222444,-118.446232,panorama-city.kaplancollege.com/pages/homepage.aspx
Gwinnett College-Sandy Springs,6690 Roswell Road Ne  Ste. 2200,Sandy Springs,GA,30328,33.937502,-84.381268,www.risingspirit.edu
Florida Career College-Clearwater,410 Park Place Blvd,Clearwater,FL,33759,27.962727,-82.726926,www.careercollege.edu
Central Mass School Of Massage & Therapy Inc.,200 Main St,Spencer,MA,1562,42.245089,-71.99074,www.centralmassschool.com
Lincoln Technical Institute-Brockton,365 Westgate Drive,Brockton,MA,2301,42.097151,-71.054643,www.lincolntech.com
Caddo Kiowa Technology Center,1415 N. 7Th Street,Fort Cobb,OK,73038,35.108563,-98.445444,www.caddokiowa.com
Kaplan College-San Antonio-San Pedro,7142 San Pedro  Suite 100,San Antonio,TX,78216,29.512822,-98.497103,nsan-antonio.kaplancollege.com/pages/homepage.aspx
Merkaz Bnos-Business School,2115 Benson Avenue,Brooklyn,NY,11214,40.601426,-73.997124,www.mbs-career.org
Oswego County Boces,179 County  Route 64,Mexico,NY,13114,43.457841,-76.259308,www.oswegoboces.org/
Itt Technical Institute-Webster,1001 Magnolia Ave,Webster,TX,77598,29.525114,-95.121314,www.itt-tech.edu
Le Cordon Bleu College Of Culinary Arts-Austin,"3110 Esperanza Crossing, Suite 100",Austin,TX,78758,30.393595,-97.723508,www.chefs.edu/austin
Paris Ii Educational Center,6840 N Oak Trfwy,Gladstone,MO,64118,39.218818,-94.576739,parisii.net
Palomar Institute Of Cosmetology,355 Via Vera Cruz Ste 3,San Marcos,CA,92078,33.13663,-117.188351,pic.edu/
Autry Technology Center,1201 W Willow,Enid,OK,73703,36.419122,-97.89719,www.autrytech.edu
Cet-Alexandria,"6295 Edsall Rd, Plaza 500, Ste. 220",Alexandria,VA,22312,38.80271,-77.14264,www.cetweb.org/index.php
Greene County Vocational School District,2960 West Enon Road,Xenia,OH,45385,39.769591,-83.946096,www.greeneccc.com
Aviation Institute Of Maintenance-Chesapeake,2211 S Military Hwy,Chesapeake,VA,23320,36.778518,-76.26867,www.aviation.edu/aim-chesapeake/default.aspx
Centura College-Richmond Main,7914 Midlothian Turnpike,Richmond,VA,23235,37.498958,-77.543339,www.centura.edu
Canadian Valley Technology Center,6505 E Hwy 66,El Reno,OK,73036,35.509208,-97.881967,www.cvtech.edu
Technical Education Center-Osceola,501 Simpson Rd,Kissimmee,FL,34744,28.298648,-81.349696,www.teco.osceola.k12.fl.us
Wilkes-Barre Area Career And Technical Center Practical Nursing,350 Jumper Rd,Wilkes Barre,PA,18705,41.262154,-75.810121,www.wbpracnsg.com
Miami Ad School-Miami Beach,955 Alton Rd,Miami Beach,FL,33139,25.780358,-80.140626,www.miamiadschool.com
American Beauty Institute,2009 North Main Street,Mcalester,OK,74501,34.947809,-95.764739,www.americanbeautyinstitutes.com
Waynesville Career Center,400 G. W. Lane,Waynesville,MO,65583,37.817383,-92.213802,waynesville.k12.mo.us
Green Country Technology Center,1100 North Loop 56,Okmulgee,OK,74447,35.610547,-95.960293,gctcok.com
Nova College De Puerto Rico,#137 Dr. Veve Street,Bayamon,PR,960,18.383314,-66.105491,www.novacollegepr.com
Connecticut Institute Of Hair Design,1681 Meriden Rd,Wolcott,CT,6716,41.555644,-72.9558,www.cthairandbarberschool.com
Styles And Profiles Beauty College,119 S Second St,Selmer,TN,38375,35.169681,-88.592958,www.spbeautycollege.com
Capitol School Of Hairstyling And Esthetics,10803 John Galt Blvd.,Omaha,NE,68137,41.232596,-96.107278,www.capitollook.com
Platt College-Lawton,112 S.W. Eleventh Street,Lawton,OK,73501,34.606746,-98.403714,www.plattcolleges.edu
