Name,CollegeID,State_Abbreviation,State
Indiana University-Purdue University-Indianapolis,268,Indiana,15
University Of Indianapolis,269,Indiana,15
University Of Southern Indiana,270,Indiana,15
Indiana State University,271,Indiana,15
Indiana University-South Bend,272,Indiana,15
Indiana University-Bloomington,273,Indiana,15
Indiana University-Southeast,274,Indiana,15
Manchester University,275,Indiana,15
Marian University,276,Indiana,15
Indiana Wesleyan University,277,Indiana,15
University Of Notre Dame,278,Indiana,15
Oakland City University,279,Indiana,15
Purdue University-Calumet Campus,280,Indiana,15
University Of Saint Francis-Fort Wayne,281,Indiana,15
Saint Josephs College,282,Indiana,15
Saint Mary-Of-The-Woods College,283,Indiana,15
Saint Mary'S College,284,Indiana,15
Taylor University,285,Indiana,15
Trine University,286,Indiana,15
Valparaiso University,287,Indiana,15
Buena Vista University,288,Iowa,16
Central College,289,Iowa,16
Clarke University,290,Iowa,16
Coe College,291,Iowa,16
Cornell College,292,Iowa,16
University Of Dubuque,293,Iowa,16
Graceland University-Lamoni,294,Iowa,16
Grand View University,295,Iowa,16
Grinnell College,296,Iowa,16
Iowa State University,297,Iowa,16
Iowa Wesleyan College,298,Iowa,16
University Of Iowa,299,Iowa,16
Loras College,300,Iowa,16
Morningside College,301,Iowa,16
Mount Mercy University,302,Iowa,16
University Of Northern Iowa,303,Iowa,16
Northwestern College,304,Iowa,16
Saint Ambrose University,305,Iowa,16
Simpson College,306,Iowa,16
Upper Iowa University,307,Iowa,16
Wartburg College,308,Iowa,16
William Penn University,309,Iowa,16
Baker University,310,Kansas,17
Benedictine College,311,Kansas,17
Bethany College,312,Kansas,17
Bethel College-North Newton,313,Kansas,17
Emporia State University,314,Kansas,17
Fort Hays State University,315,Kansas,17
Friends University,316,Kansas,17
University Of Kansas,317,Kansas,17
Newman University,318,Kansas,17
Kansas Wesleyan University,319,Kansas,17
Mcpherson College,320,Kansas,17
Midamerica Nazarene University,321,Kansas,17
Ottawa University-Ottawa,322,Kansas,17
Pittsburg State University,323,Kansas,17
University Of Saint Mary,324,Kansas,17
Southwestern College,325,Kansas,17
Tabor College,326,Kansas,17
Wichita State University,327,Kansas,17
Alice Lloyd College,328,Kentucky,18
Asbury University,329,Kentucky,18
Bellarmine University,330,Kentucky,18
Brescia University,331,Kentucky,18
Campbellsville University,332,Kentucky,18
University Of The Cumberlands,333,Kentucky,18
Eastern Kentucky University,334,Kentucky,18
Georgetown College,335,Kentucky,18
Kentucky State University,336,Kentucky,18
Kentucky Wesleyan College,337,Kentucky,18
University Of Kentucky,338,Kentucky,18
University Of Louisville,339,Kentucky,18
Mid-Continent University,340,Kentucky,18
Midway College,341,Kentucky,18
Morehead State University,342,Kentucky,18
Murray State University,343,Kentucky,18
Northern Kentucky University,344,Kentucky,18
University Of Pikeville,345,Kentucky,18
Spalding University,346,Kentucky,18
Thomas More College,347,Kentucky,18
Transylvania University,348,Kentucky,18
Union College,349,Kentucky,18
Western Kentucky University,350,Kentucky,18
Centenary College Of Louisiana,351,Louisiana,19
Grambling State University,352,Louisiana,19
Louisiana State University-Alexandria,353,Louisiana,19
Louisiana State University And Agricultural & Mechanical College,354,Louisiana,19
Louisiana College,355,Louisiana,19
Louisiana Tech University,356,Louisiana,19
Loyola University New Orleans,357,Louisiana,19
Mcneese State University,358,Louisiana,19
University Of New Orleans,359,Louisiana,19
Nicholls State University,360,Louisiana,19
University Of Louisiana At Monroe,361,Louisiana,19
Northwestern State University Of Louisiana,362,Louisiana,19
Southeastern Louisiana University,363,Louisiana,19
Southern University And A & M College,364,Louisiana,19
Southern University At New Orleans,365,Louisiana,19
University Of Louisiana At Lafayette,366,Louisiana,19
Tulane University Of Louisiana,367,Louisiana,19
Xavier University Of Louisiana,368,Louisiana,19
Colby College,369,Maine,20
Husson University,370,Maine,20
University Of Maine At Machias,371,Maine,20
University Of Maine,372,Maine,20
Maine Maritime Academy,373,Maine,20
University Of New England,374,Maine,20
Saint Joseph'S College Of Maine,375,Maine,20
University Of Southern Maine,376,Maine,20
Thomas College,377,Maine,20
Bowie State University,378,Maryland,21
Coppin State University,379,Maryland,21
Frostburg State University,380,Maryland,21
Hood College,381,Maryland,21
Johns Hopkins University,382,Maryland,21
Loyola University Maryland,383,Maryland,21
University Of Maryland-Baltimore County,384,Maryland,21
University Of Maryland-College Park,385,Maryland,21
University Of Maryland Eastern Shore,386,Maryland,21
Morgan State University,387,Maryland,21
Mount St Mary'S University,388,Maryland,21
Notre Dame Of Maryland University,389,Maryland,21
Salisbury University,390,Maryland,21
St Mary'S College Of Maryland,391,Maryland,21
Towson University,392,Maryland,21
Stevenson University,393,Maryland,21
Washington College,394,Maryland,21
American International College,395,Massachusetts,22
Bay Path College,396,Massachusetts,22
Becker College,397,Massachusetts,22
Bentley University,398,Massachusetts,22
Boston College,399,Massachusetts,22
Boston University,400,Massachusetts,22
Brandeis University,401,Massachusetts,22
Bridgewater State University,402,Massachusetts,22
Curry College,403,Massachusetts,22
Eastern Nazarene College,404,Massachusetts,22
Emerson College,405,Massachusetts,22
Endicott College,406,Massachusetts,22
Fisher College,407,Massachusetts,22
Fitchburg State University,408,Massachusetts,22
Framingham State University,409,Massachusetts,22
Gordon College,410,Massachusetts,22
Harvard University,411,Massachusetts,22
Lasell College,412,Massachusetts,22
Lesley University,413,Massachusetts,22
University Of Massachusetts-Lowell,414,Massachusetts,22
University Of Massachusetts-Amherst,415,Massachusetts,22
Massachusetts Institute Of Technology,416,Massachusetts,22
Massachusetts Maritime Academy,417,Massachusetts,22
Mount Ida College,418,Massachusetts,22
Newbury College,419,Massachusetts,22
Nichols College,420,Massachusetts,22
Massachusetts College Of Liberal Arts,421,Massachusetts,22
College Of Our Lady Of The Elms,422,Massachusetts,22
Pine Manor College,423,Massachusetts,22
Salem State University,424,Massachusetts,22
Simmons College,425,Massachusetts,22
Springfield College,426,Massachusetts,22
University Of Massachusetts-Dartmouth,427,Massachusetts,22
Stonehill College,428,Massachusetts,22
Suffolk University,429,Massachusetts,22
Tufts University,430,Massachusetts,22
Wentworth Institute Of Technology,431,Massachusetts,22
Western New England University,432,Massachusetts,22
Westfield State University,433,Massachusetts,22
Wheelock College,434,Massachusetts,22
Williams College,435,Massachusetts,22
Worcester State University,436,Massachusetts,22
Adrian College,437,Michigan,23
Albion College,438,Michigan,23
Alma College,439,Michigan,23
Andrews University,440,Michigan,23
Aquinas College,441,Michigan,23
Calvin College,442,Michigan,23
Central Michigan University,443,Michigan,23
Concordia University-Ann Arbor,444,Michigan,23
University Of Detroit Mercy,445,Michigan,23
Eastern Michigan University,446,Michigan,23
Ferris State University,447,Michigan,23
Kettering University,448,Michigan,23
Cornerstone University,449,Michigan,23
Grand Valley State University,450,Michigan,23
Hope College,451,Michigan,23
Lake Superior State University,452,Michigan,23
Lawrence Technological University,453,Michigan,23
Madonna University,454,Michigan,23
Marygrove College,455,Michigan,23
Rochester College,456,Michigan,23
University Of Michigan-Ann Arbor,457,Michigan,23
Michigan State University,458,Michigan,23
Michigan Technological University,459,Michigan,23
University Of Michigan-Flint,460,Michigan,23
Northern Michigan University,461,Michigan,23
Olivet College,462,Michigan,23
Kuyper College,463,Michigan,23
Siena Heights University,464,Michigan,23
Spring Arbor University,465,Michigan,23
Wayne State University,466,Michigan,23
Western Michigan University,467,Michigan,23
Augsburg College,468,Minnesota,24
Bemidji State University,469,Minnesota,24
Bethany Lutheran College,470,Minnesota,24
Bethel University,471,Minnesota,24
Concordia College At Moorhead,472,Minnesota,24
Concordia University-Saint Paul,473,Minnesota,24
Martin Luther College,474,Minnesota,24
Hamline University,475,Minnesota,24
Macalester College,476,Minnesota,24
Minnesota State University-Mankato,477,Minnesota,24
University Of Minnesota-Twin Cities,478,Minnesota,24
University Of Minnesota-Duluth,479,Minnesota,24
Minnesota State University-Moorhead,480,Minnesota,24
University Of Northwestern-St Paul,481,Minnesota,24
College Of Saint Benedict,482,Minnesota,24
